Profil;h;b;d;t;r;A;Wely;Welz;Wply;Wplz;Iy;Iz;Iv;Iw;g;iy;iz;Avy;Avz;Wv
-;mm;mm;mm;mm;mm;mm2;mm3;mm3;mm3;mm3;mm4;mm4;mm4;mm6;kg/m;mm;mm;mm2;mm2;mm3
HE100B;100;100;6;10;12;2600;89900;33500;104000;0;4500000;1670000;92900;3370000000;20.4;41.6;25.3;900;0;0
HE120B;120;120;6.5;11;12;3400;144000;52900;165000;0;8640000;3180000;139000;9410000000;26.7;50.4;30.6;1095.5;0;0
HE140B;140;140;7;12;12;4300;216000;78500;246000;0;15100000;5500000;201000;22500000000;33.7;59.3;35.8;1312;0;0
HE160B;160;160;8;13;15;5430;311000;111000;354000;0;24900000;8890000;314000;47900000000;42.6;67.8;40.5;1764;0;0
HE180B;180;180;8.5;14;15;6530;426000;151000;482000;0;38300000;13600000;423000;93700000000;51.2;76.6;45.7;2029;0;0
HE200B;200;200;9;15;18;7810;570000;200000;642000;0;57000000;20000000;595000;171000000000;61.3;85.4;50.7;2485;0;0
HE220B;220;220;9.5;16;18;9100;736000;258000;828000;0;80900000;28400000;768000;295000000000;71.5;94.3;55.9;2788;0;0
HE240B;240;240;10;17;21;10600;938000;327000;1054000;0;112600000;39200000;1030000;487000000000;83.2;103;60.8;3324;0;0
HE260B;260;260;10;17.5;24;11800;1150000;395000;1282000;0;149200000;51300000;1240000;754000000000;93;112;65.8;3715;0;0
HE280B;280;280;10.5;18;24;13100;1380000;471000;1534000;0;192700000;65900000;1440000;1130000000000;103;121;70.9;4073;0;0
HE300B;300;300;11;19;27;14900;1680000;571000;1868000;0;251700000;85600000;1860000;1690000000000;117;130;75.8;4735;0;0
HE320B;320;300;11.5;20.5;27;16100;1930000;616000;2140000;0;308200000;92400000;2260000;2070000000000;127;138;75.7;5142.75;0;0
HE340B;340;300;12;21.5;27;17100;2160000;646000;2400000;0;366600000;96900000;2580000;2450000000000;134;146;75.3;5619;0;0
HE360B;360;300;12.5;22.5;27;18100;2400000;676000;2680000;0;431900000;101400000;2930000;2880000000000;142;155;74.9;6096.25;0;0
HE400B;400;300;13.5;24;27;19800;2880000;721000;3240000;0;576800000;108200000;3570000;3820000000000;155;171;74;7020;0;0
HE450B;450;300;14;26;27;21800;3550000;781000;3980000;0;798900000;117200000;4420000;5260000000000;171;191;73.3;7968;0;0
HE500B;500;300;14.5;28;27;23900;4290000;842000;4820000;0;1072000000;126200000;5400000;7020000000000;187;212;72.7;9018;0;0
HE550B;550;300;15;29;27;25400;4970000;872000;5600000;0;1367000000;130800000;6020000;8860000000000;199;232;71.7;10001;0;0
HE600B;600;300;15.5;30;27;27000;5700000;902000;6420000;0;1710000000;135300000;6690000;11000000000000;212;252;70.8;11085;0;0
HE650B;650;300;16;31;27;28600;6480000;932000;7320000;0;2106000000;139800000;7410000;13400000000000;225;271;69.9;12170;0;0
HE700B;700;300;17;32;27;30600;7340000;963000;8320000;0;2569000000;144400000;8330000;16100000000000;241;290;68.7;13672;0;0
HE800B;800;300;17.5;33;30;33400;8980000;994000;10220000;0;3591000000;149000000;9490000;21800000000000;262;328;66.8;16157.5;0;0
HE900B;900;300;18.5;35;30;37100;10980000;1050000;12580000;0;4941000000;158200000;11400000;29500000000000;291;365;65.3;18847.5;0;0
HE1000B;1000;300;19;36;30;40000;12890000;1090000;14860000;0;6447000000;162800000;12600000;37600000000000;314;401;63.8;21244;0;0
HE100A;96;100;5;8;12;2120;72800;26800;83000;0;3490000;1340000;52600;2580000000;16.7;40.6;25.1;752;0;0
HE120A;114;120;5;8;12;2530;106000;38500;119400;0;6060000;2310000;60200;6470000000;19.9;48.9;30.2;842;0;0
HE140A;133;140;5.5;8.5;12;3140;155000;55600;173400;0;10300000;3890000;81600;15100000000;24.7;57.3;35.2;1010.75;0;0
HE160A;152;160;6;9;15;3880;220000;76900;246000;0;16700000;6160000;123000;31400000000;30.4;65.7;39.8;1324;0;0
HE180A;171;180;6;9.5;15;4530;294000;103000;324000;0;25100000;9250000;149000;60200000000;35.5;74.5;45.2;1452;0;0
